project	issue_key	issue_type	summary	description	label
DNN	DNN-10744	Improvement	Issue with display of page with long name in Search of it	"The display of page name while searching the page has to be improved.    *+Tested Environment:+*  *v. 09.02.00 (344) - 714*    *+Steps To Reproduce:+*  # Login as host user -> Click on Search icon  # Enter search text in ""Search"" textbox field   # View the display of page with long name    *+Expected Result:+*   !image-2018-02-03-17-27-16-873.png|thumbnail!     *+Actual Result:+*   !image-2018-02-03-17-30-17-983.png|thumbnail! "	Design
MULE	MULE-14677	Enhancement Request	Need a way to specify differnet defualts for the primaryNodeOnly parameter	"By default, the primaryNodeOnly parameter defaults to false, which makes sense most of the times. However, some cases like the jms:listener need to default to true. We need a way to enable this."	Design
CONFSERVER	CONFSERVER-60369	Bug	License counter does not reflect the disabled users immediately	"h3. Issue Summary    The License Counter does not reflect the disabled users immediately.  I don't see the same issue on 6.15.2.  h3. Steps to Reproduce   # Added 12 users into Confluence with external LDAP, so it exceeds user limit with a 10-user license, and pages cannot be edited.   # Removed 3 users from *confluence-user* group in the LDAP and synchronized.   # License Details did not change, and still showed 12 active users:   !license-12users.png|thumbnail!   # Still unable to edit the pages.  So, the issue prevent editing the page!   # Clicked the *Refresh* button on the License details, then the license counter displayed correctly, and the page can be edited.    h3. Expected Results    As soon as disable users, the license counter should be reduced and allow to edit the pages.  h3. Actual Results    The license counter does not update until clicking the *Refresh* button in the License details.  h3. Workaround    To update the license counter,   * Try to click *Refresh* button in the *General Configuration > License Details*   * Or flush the cache on *General Configuration > Cache Statistics > Flush All*."	Not Design
CONFSERVER	CONFSERVER-56205	Suggestion	Provide REST API methods to manage users and groups	"h3. Summary    As a Confluence <USER>I would like to be able to manage users and groups directly from REST API endpoints. Automation and scripting of user management can be made easier with REST API.  h3. Problem statement    User and groups management is currently not possible via REST API only. Bulk operations, automation or scripting of management actions is not currently possible when using REST API. User management was previously possible with SOAP, which has been deprecated.  h3. Suggested Resolution    Provide methods akin to what as present with SOAP that would allow Admins to manage users and groups via REST API.                   _Previous Ticket Description_   As Confluence is popular tool used by many users, it should provide the API to add users to groups, similar to what Jira Cloud has."	Design
CONFSERVER	CONFSERVER-60319	Bug	Specifying a space key for a page that has a colon (:) right after the first word in the title and it exists on the same space where the Include Page macro is included removes the space key after first edit	"h3. Issue Summary    Currently, if a user specifies a page link inside the Include Page macro using the Space Key parameter and the page happens to have the colon (:) right after the first word in the title, the macro will remove the space key and consider part of the title as the space key value when you first edit the page where the macro is placed.    {{If the page title is ‘THIS: is a test title created’}}    *This:*    {{MAL:THIS: is a test title created}}    *Becomes this:*    {{THIS: is a test title created}}    Adding the space key parameter again seems to fix the issue and editing the page can be done normally.    Documentation on the macro    [https://confluence.<USER>doc/include-page-macro-139514.html]  h3. Steps to Reproduce   # Create a new page that contains a colon right after the first word in the title   # Publish the page   # Create a new page on the same space as the previous one   # Add the Include Page macro   # Specify the previously created page using space key value (eg. SPC:THIS: title)   # Publish the page   # Edit the page    h3. Expected Results    The space key value is still there and the page is found  h3. Actual Results    The space key value is removed and the page is not found.    *Before publishing the page*    !Screen Shot 2020-09-23 at 15.27.42.png|width=418,height=113!    *After publishing the page*    *!Screen Shot 2020-09-23 at 15.27.50.png|width=379,height=81!*    *First page edit*    notice the missing space key    *!Screen Shot 2020-09-23 at 15.28.00.png|width=415,height=126!*    *First edit, view mode*    *!Screen Shot 2020-09-23 at 15.28.08.png|width=365,height=90!*  h3. Workaround    Edit the page and add the space key back. After the first edit, the space key value sticks to the original value."	Not Design
NEXUS	NEXUS-25478	Bug	regression in nuget group v3	"Following started with happens on version from OSS 3.27 and OSS 3.28       h4. Setup    my-group as nuget-group  1) nuget-hosted  2) nuget.org v3 proxy     nuget.config inside a VS 2019 solution    ```  {{<?xml version=""1.0"" encoding=""utf-8""?>}}  {{<configuration>}}  {{ <packageSources>}}  {{ <clear /> }}  {{ <add key=""my-group"" value=""https://nexus.mydomain.tt/repository/nuget-group/index.json"" />}}  {{ </packageSources>}}  {{ <packageSourceCredentials>}}  {{ <my-group>}}  {{ <add key=""Username"" value=""nuget-read"" />}}  {{ <add key=""ClearTextPassword"" value=""somekey"" />}}  {{ </my-group>}}  {{ </packageSourceCredentials>}}  {{</configuration>}}    ```       h4. Situation    After an cache-clear and removal of an installed package hosted by a private repository on nexus3 within visual studio 2019,    it can not be reinstalled with some kind of dependency error:    *`Unable to find metadata of Microsoft.Win32.Primitives.4.3.0`*              New Projects can find the hosted package and fail to install it with the same error.       h4. Test    changed do order inside the my-group repository to:    1) nuget.org-proxy v3  2) nuget-hosted    After visual studio 2019 found all public packages but none private anymore.       h4. Workaround    After adding the group and proxy repository into the nuget config the error went away.  ```    {{<?xml version=""1.0"" encoding=""utf-8""?>}}  {{<configuration>}}  {{ <packageSources>}}  {{ <clear /> }}  {{ <add key=""my-group"" value=""https://}}{{nexus.mydomain.tt}}{{/repository/nuget-group/index.json"" />}}  {{<add key=""}}{{my}}{{-proxy"" value=""https://}}{{nexus.mydomain.tt}}{{/repository/nuget.org-proxy/index.json"" />}}  {{ </packageSources>}}  {{ <packageSourceCredentials>}}  {{ <}}{{my}}{{-group>}}  {{<add key=""Username"" value=""nuget-read"" />}}  {{ <add key=""ClearTextPassword"" value=""somekey"" />}}  {{ </}}{{my}}{{-group>}}  {{ <}}{{my}}{{-proxy>}}  {{<add key=""Username"" value=""nuget-read"" />}}  {{ <add key=""ClearTextPassword"" value=""somekey"" />}}  {{ </}}{{my}}{{-proxy>}}  {{ </packageSourceCredentials>}}  {{</configuration>}}    ```          "	Not Design
SERVER	SERVER-51694	Task	"Add a resharding utility function to determine whether a write should be run in a distributed transaction"	"""Add a utility function to ScopedCollectionDescription that will return whether a write must be run in a distributed transaction. This function should return true if the 'state' field in reshardingFields is any of 'preparingToMirror', 'mirroring', 'committed', 'renaming', or 'dropping'.    If any of these states on startup, automatically queue writes for distributed transactions."""	Not Design
SERVER	SERVER-51746	Bug	"Fix the application name for tenant migration recipient collection cloner & oplog fetcher DBClientConnection"	"""Currently, the [application name|https://github.com/mongodb/mongo/blob/5362f02f26313574e3aa8cadcc6fd66bc43f301b/src/mongo/db/repl/tenant_migration_recipient_service.cpp#L283] can exceed beyond 128 bytes."""	Not Design
MULE	MULE-14773	Task	Update first-successful and round-robin Mule 4 documentation	"We need to update first-successful and round-robin documentation for Mule 4"	Not Design
FAB	FAB-18250	Task	Add Method For Evicting Invalid PKCS11 Sessions	"There exists no method for checking if a PKCS11 session is invalid and thus no deterministic logic for evicting invalid sessions from the PKCS11 Session Pool.    Introduce a method for evaluating and evicting invalid session"	Not Design
JRASERVER	JRASERVER-71650	Suggestion	Add the ability to remove/hide the Avatar for Toolkit Plugin for Jira	"The new version of [Toolkit Plugin for Jira|https://marketplace.atlassian.com/apps/5142/toolkit-plugin-for-jira?hosting=server&tab=overview] together with Jira 8.12.2 now shows the avatar for the custom field of type *Username of last updater or commenter*.    The customer asks for the ability to remove/hide the profile picture from the output of this field.    The attached example is from this type of field, named as 'Last Updated By'."	Design
MULE	MULE-14758	Epic	Mule 4 - Architecture documentation	"Epic for Mule 4 architecture documentation."	Design
FAB	FAB-16102	Task	TLS support for HSM in Fabric	"As of now TLS is not supported for HSM in Fabric, this results TLS private keys remains in file system only. This Jira is to enable this feature in Fabric."	Not Design
JRASERVER	JRASERVER-71555	Suggestion	Search Index for Archived issues	"h3. Currently, when issues are archived within Jira, they are not placed into the normal operating search index. While efficient for operations, this does limit the ability to search through the archives. It can be painfully slow when there are tens and hundreds of thousands of issues.  h3. Steps to Reproduce   # On a large Jira DC instance, archive 20,000 or more issues   # Try to search for an archived issue   # It will be painfully slow and in some cases impossible to search    h3. Expected Results    Although it may not have been included in the design, it would be nice to have a separate index created when archiving issues. Given the nature of archived issues, this could be a separate index created on a schedule that does not require daily reindex  h3. Actual Results    It appears that archived issues are not indexed, and searches can take an unacceptably long time to return items.  h3. Workaround       Currently there is no known workaround for this behavior.  h3. Suggestion    If there were a separate index and schedulable task to create an index once issues have been archived, it could make locating these issues easier for gathering information when required."	Design
SERVER	SERVER-51776	Improvement	"Map setup_multiversion_mongodb.py args to evergreen build variants"	"""Map the current args (--edition, --platform, --architecture) to evergreen build variants.    """	Design
MULE	MULE-14663	Task	Make org.mule.tck.http.TestProxyServer a Rule	"Most usages of org.mule.tck.http.TestProxyServer will require starting and stopping the proxy in a Before and After, making this an ideal candidate for a Rule."	Not Design
CONFSERVER	CONFSERVER-59319	Suggestion	Update user's profile picture via REST API	"h3. Issue Summary  Admin functionality that allows them to either update user's profile picture using REST API. Currently, users are only able to use the GET methods for *user* data.       h3. Expected Results  PUT /rest/user/<user ID or  name>  h3. Actual Results  only GET /rest/user is available.                     h3. Workaround    No work around available."	Design
DM	DM-27179	Story	Standardize filter info in CameraMapper	"All CameraMappers have a {{FilterDefinitionCollection}} that relates filter and band names, including aliases, for the corresponding instrument. However, there is no common API to this collection, making it usable only by a particular mapper subclass. Add an abstract property to {{obs.base.CameraMapper}} that exposes the collection to code that needs filter information in Gen 2."	Not Design
CONFSERVER	CONFSERVER-60289	Bug	Adding a Page Properties Report macro to the same page containing a Page Properties macro results in an error	"h3. Issue Summary  Page Properties Reports macro can no longer be placed on the same page as the 'Page Properties' macro using the bundled plugin *confluence-masterdetail-plugin-5.3.10.jar*      h3. Steps to Reproduce   # Install or upgrade to Confluence 7.7.x   # Create a page and place a *Page Properties* macro on the page   # Add a *Page Properties Report* to the same page referencing the label from the page   # Save   # Notice the following error:     h3. Expected Results  *Page Properties Reports* should be shown as in previous Confluence versions up to 7.6.+    h3. Actual Results  An error is is shown for the *Page Properties Report* macro: {code}We can't display a report when the property passed to the report is the report itself{code}        (i) Using the {{/rest/masterdetail/1.0/detailssummary/lines?cql=...}} endpoint is also broken where it used to work in 7.6.+ but in case it's not related a new bug will be created.    h3. Workaround  No known workaround."	Not Design
DM	DM-27113	Story	Convert RC2 w_2020_38 to gen3 with w_2020_40 stack	"The conversion was originally attempted with w_2020_40, but it failed. A schema was renamed from rc2w38_ssw40 to rc2w38_ssw42, and another attempt was made with the w_2020_42 stack."	Not Design
JRASERVER	JRASERVER-71618	Bug	On changing assignee gets error " Failed to save issue number" but the issue gets assigned anyways	"h3. Issue Summary   * User does not want to give browse project permission to users .    * For example, a user X is created that belong to the group ""jira-software users""   * Under the browse project permission, he has only given permission to the role ""current assignee""   * He has given assign issue permission, edit issue to the current assignee and assignable user permission to Jira -software users   * Now the administrator assigns the issue to User-X and on logging User-X is able to see the issue   * When this user assigns the issue back to the administrator or any other user he gets the following error: ""Failed to save the issue number , You are not allowed to see the issue""   * Failed to save the issue number seems a little contradictory as the issue gets eventually reassigned to the respective administrators or users    * Also another thing to note here is that we don't get an error when the issue is assigned using *assign* option but we get the error when the issue is assigned using *assignee* option    h3. Steps to Reproduce    I have all steps to replicate the issue above and a few more screenshot given below   h3. Expected Results    You are not allowed to see the issue is correct but Failed to save the issue number is incorrect   h3. Actual Results    Incorrect error message displayed creates confusion    h3. Workaround    No workaround available "	Not Design
SERVER	SERVER-51631	Task	"Support json schema match expression $_internalSchemaAllowedProperties"		Not Design
SERVER	SERVER-51790	Task	"Add libmongocrypt to mongodb/homebrew-brew"	"""The drivers team would like to make [libmongocrypt|https://github.com/mongodb/libmongocrypt], the library used by drivers to support Client-Side Field Level Encryption, available to macOS users with Homebrew (MONGOCRYPT-185)."""	Not Design
FAB	FAB-14296	Task	Remove metadata provider interface	"core/chaincode/platforms contains the metadata interface. This serves no purpose and should be removed."	Not Design
CONFSERVER	CONFSERVER-60260	Suggestion	Bulk edit of Confluence and Jira gadgets in Confluence	"h3. Problem    Currently, there is no way of bulk editing multiple Confluence or Jira gadgets used in a Confluence page.    Example:   !image-1.png|width=359,height=143!!image-2.png|width=358,height=193!  h3. Suggested Solution    Implement things like  h3. Why This Is Important    It would be helpful for pages working as dashboards and using multiple gadgets to edit configuration or filters once and have all the gadgets automatically updated."	Design
CONFSERVER	CONFSERVER-60309	Suggestion	Return the Space status information when performing a GET request to /api/space resource	"When performing a GET request to /api/space, a list of spaces will be returned, containing relevant information about these spaces. However, the status information isn't returned.         While the user can easily query for a particular status, appending ?status=current (or archived) to the request, it would be useful to get a complete list of spaces with their respective status."	Design
SERVER	SERVER-51757	Improvement	"Collect /proc/vmstat numa_pages_migrated statistics in FTDC"	"""FTDC already collects different vmstat metrics, this new requested stat {{vmstat numa_pages_migrated}} will help us to tackle numa related issues  """	Design
TIMOB	TIMOB-28112	Bug	iOS: Unable to build using Xcode 11.3.1	"h5.Description    When building an app using Xcode 11.3.1 the build will fail with the below error, we probably need to guard the API usage with an IS_SDK_IOS_134 or something      "	Not Design
DNN	DNN-10761	Task	Spaces in manifest file cause module installation errors	"Email from client:    we just discovered a bug in DNN 9.1.1 (Evoq Basic). Upon uploading a module, we got an error message, even though the (almost) same module had been installed without error before:        !image-2018-02-14-09-04-41-072.png|thumbnail!        We compared the faulty module with the error-free version installed earlier and discovered just one minor difference:    The faulty version had spaces in seemingly empty lines (hex: 0D 0A 20 20 20 20 0D 0A), whereas the error-free version had not (hex: 0D 0A 0D 0A):      !image-2018-02-14-09-04-53-274.png|thumbnail!     So obviously, the spaces in lines without XML elements caused the .DNN package XML parser to fail.    Please report this to your developers."	Not Design
DNN	DNN-10736	Bug	Prompt: Cross-portal scripting fixes are broken & breaking the actual behaviors for the features using the APIs and for the promt in the application	"Using Evoq_Content_9.2.1.10-73.  Original issues are rejected for the cross-portal scripting. Following are some *sample *of the introduced broken featured:  *+Setup:+*  Having 3 sites:   - Main site, Id=0, has user named: site1 (In site group1)  - Site 2, Id= 1, has user named: site2, xxxxx (In site group1)  - Site3, Id =2 , has user named: site2 (Not in site group)    *+Scenario 1:+*  - delete, restore user actual functionalities are not working on site2. In prompt also not working.  https://www.screencast.com/t/iptSVlRW    Scenario 2:  - List-users command for portal2 only displaying the host user   https://www.screencast.com/t/LiMBR3uY    Scenario 3:  Comments in https://dnntracker.atlassian.net/browse/DNN-10715    *+Required+*:  - To roll back the crossportal scripting fixes and then re-consider the correct logic behind it then re-fixing it"	Not Design
NEXUS	NEXUS-25110	Improvement	if repository assets are downloaded by a web browser in the UI then set cache headers which tell the browser to not cache the response	"The NXRM UI exposes various links a user can open in their web browser to directly download repository content ( components / assets ).    Currently no Cache related HTTP headers are set when the response is successful (200) downloading these files. Cache headers which tell the web browser to not cache the result are sent for 403 Forbidden responses.    After a successful download of content, the user permissions may have changed in the backend to DENY access to these files. Subsequent attempts to download the same file may appear to work, but don't actually contact the server.    Check the video [^diabolical-fake-download-of-cached-file.mp4]  for how downloads can manifest when not actually contacting the NXRM backend.    The problem is this creates a bad UX:  - an appearance of privilege escalation when none actually exists because the new privileges were not actually checked  - the user may sign-out their NXRM session and then immediately sign back in and appear to download the same file despite not actually having the permissions to do so  - an appearance the server was contacted to download the file ( server is still available ) when it is not actually still available. ie. it is actually offline now )    h4. Expected    If downloads are attempted from within the NXRM UI, NXRM should set cache headers such that a web browser (UI) should NEVER cache the download attempt and exhibit the confusing ""fake download"" behaviour.    Altering the cache related headers for any other user agent download is strictly not in scope."	Design
FAB	FAB-18248	Bug	peer does not generate snapshot	"peer Commit SHA: 2b27d51    blocks 290000, 291000, 292000 are listed in the list pending:    Successfully got pending snapshot requests: [274000 290000 291000 292000 293000 294000 295000 296000 297000 298000 299000 300000 310000 320000 330000 340000 350000 400000 600000 800000 1000000]    The current block height is 292460    (state_validation=5ms block_and_pvtdata_commit=18ms state_commit=8ms) commitHash=[ce9ddc312f6d9f3112a97b831d3ca13314d3906e4e5d5310fdb7354b801e7da9]    ^[[34m2020-09-24 20:57:39.615 UTC [gossip.privdata] StoreBlock -> INFO fbc54^[[0m [testorgschannel0] Received block [292458] from buffer    ^[[34m2020-09-24 20:57:39.626 UTC [committer.txvalidator] Validate -> INFO fbc55^[[0m [testorgschannel0] Validated block [292458] in 11ms    ^[[34m2020-09-24 20:57:39.670 UTC [kvledger] commit -> INFO fbc56^[[0m [testorgschannel0] Committed block [292458] with 100 transaction(s) in 41ms (state_validation=6ms block_and_pvtdata_commit=18ms state_commit=8ms) commitHash=[bbed7224caa46386815190c3c59efba66a50d730b2dd5dbebe93c910cbd3fc13]    ^[[34m2020-09-24 20:57:41.625 UTC [gossip.privdata] StoreBlock -> INFO fbc57^[[0m [testorgschannel0] Received block [292459] from buffer    ^[[34m2020-09-24 20:57:41.634 UTC [committer.txvalidator] Validate -> INFO fbc58^[[0m [testorgschannel0] Validated block [292459] in 9ms    ^[[34m2020-09-24 20:57:41.677 UTC [kvledger] commit -> INFO fbc59^[[0m [testorgschannel0] Committed block [292459] with 71 transaction(s) in 40ms (state_validation=5ms block_and_pvtdata_commit=17ms state_commit=8ms) commitHash=[d6c805d3ab33e82485073363d5d848e6a35915d5425b387cb21a6eda6712fb72]         But peer does NOT generate the above 3 snapshots and list them as pending:    /var/hyperledger/production/ledgersData/snapshots/completed/testorgschannel0 # ls    200000  228000  241000  244000  247000  250000  253000  256000  259000  262000  265000  268000  274000  277000  280000    226000  229000  242000  245000  248000  251000  254000  257000  260000  263000  266000  269000  275000  278000    227000  240000  243000  246000  249000  252000  255000  258000  261000  264000  267000  270000  276000  279000     "	Not Design
SERVER	SERVER-51684	Bug	"Every 4 hours CPU usage is going high varying from 100% to 200% because of mongo SECONDARY / replica node reciding on server"	"""   +cat /var/log/mongodb/mongod.log | grep """"Successfully connected to mongo1.production.internal:27017"""" | sort | uniq+    2020-10-16T00:06:57.310+0000 I NETWORK [LogicalSessionCacheRefresh] Successfully connected to mongo1.production.internal:27017 (527 connections now open to mongo1.production.internal:27017 with a 0 second timeout)  2020-10-16T04:06:57.422+0000 I NETWORK [LogicalSessionCacheRefresh] Successfully connected to mongo1.production.internal:27017 (528 connections now open to mongo1.production.internal:27017 with a 0 second timeout)  2020-10-16T08:06:56.913+0000 I NETWORK [LogicalSessionCacheRefresh] Successfully connected to mongo1.production.internal:27017 (529 connections now open to mongo1.production.internal:27017 with a 0 second timeout)       +mongod --version+    db version v4.0.5  git version: 3739429dd92b92d1b0ab120911a23d50bf03c412  OpenSSL version: OpenSSL 1.0.2n  7 Dec 2017  allocator: tcmalloc  modules: none  build environment:      distmod: ubuntu1404      distarch: x86_64      target_arch: x86_64        +mongo --version+    git version: 3739429dd92b92d1b0ab120911a23d50bf03c412  OpenSSL version: OpenSSL 1.0.2n 7 Dec 2017  allocator: tcmalloc  modules: none  build environment:   distmod: ubuntu1404   distarch: x86_64   target_arch: x86_64          """	Not Design
JRASERVER	JRASERVER-71616	Bug	Site title format has been changed in the new version	"h3. Issue Summary  The site title if enabled in the new version of Jira v8.12 doesn't look nicely formatted. The font size is large and the margin around the text is not right either.    h3. Steps to Reproduce   # Install v8.12  # Go to System >> Look and Feel and Enable the 'Site title' >> Click update    h3. Expected Results  In old versions, it looked like    !v8.11.png|thumbnail!   h3. Actual Results  In 8.12, it looks like below   !v8.12.png|thumbnail!   h3. Workaround  Currently there is no known workaround for this behavior. A workaround will be added here when available"	Not Design
JRASERVER	JRASERVER-71689	Bug	Linked issues created through the "Create Linked Issue" option do not respect the default priority selected in the project's priority scheme.	"h3. Issue Summary  Whenever a linked issue is created using the *Create linked issue* functionality, its priority will match the original issue's priority instead of the one selected as the default priority in the issue priority scheme.    h3. Steps to Reproduce   # Access an issue.   # Click on *More* > *Create linked issues*.   # Fill out the details but do not select a priority.   # Click on *Create*.    h3. Expected Results  * The linked issue's priority should be the one specified in the Issue Priority Scheme.     !Screen Shot 2020-10-07 at 23.32.34.png|thumbnail!     h3. Actual Results  * The linked issue's priority is equal to the priority of the issue where the *Create linked issue* functionality was used.     !Screen Shot 2020-10-07 at 23.31.18.png|thumbnail!     h3. Workaround    Manually select the linked issue's priority if it is displayed on the *Create Issue Screen*."	Not Design
MESOS	MESOS-7231	Improvement	enable "lastest" as container id for "files" http-api	"The current ""files"" http-api requires the exact container id, whereas the symlink folder ""latest"" cannot be reached (""not found 404"" will be returned if one hits the latest folder).  On the other hand, there is no programmatic way to retrieve the container id.  So in order to programmatically read/download/check file in sandbox, we need make ""files"" http-api understand ""latest""; or expose ""container id"" via some other api call."	Design
DM	DM-25275	Epic	Auxiliary Telescope pipeline development in F20A	"Now that we're on sky, we can now get astrometric fits in auxtel pipeline.    "	Design
FAB	FAB-18133	Story	Use channel participation in samples test-network	"Placeholder... we'll likely need CLI functionality for this?"	Not Design
NEXUS	NEXUS-25463	Improvement	add native PKI certificate management support	"PKI client side certificates usage is becoming more widespread. Examples in use include    - NXRM to IQ Server PKI auth  - NXRM yum proxy repos to Redhat remotes  - NXRM Docker proxy repos to Redhat remotes    Meanwhile, cloud deployments of NXRM are also increasing the complexity of automating updates to PKI certs that NXRM uses from the keystore currently specified by way of system properties: Updates of PKI certs require an NXRM restart and PKI entitlement certs for remote resources can change frequently, requiring some sort of home grown automated process to deploy new certs NXRM can use and then restarting NXRM, requiring downtime. Examples:    - https://help.sonatype.com/repomanager3/formats/yum-repositories/proxying-rhel-yum-repositories  - NEXUS-24420    h4. Expected    Add a REST API and UI for managing client side certs used for outbound PKI Auth ( for repos and even IQ server ). Design it such that NXRM restarts will not be required for the changes to take effect and the certificates will be persisted inside NXRM surviving upgrades. Imagining an interface similar to the existing SSL Certifcates UI."	Design
TIMOB	TIMOB-24725	New Feature	Alloy - Add support for databinding to TableViewSection	"Currently databinding only works on TableViews, not sections. For ListViews it does work on sections. Support for sections in tableviews might enhance the experience better."	Design
FAB	FAB-18126	Task	Integration test join channel with join-block as member	"Join application channel with join-block as member.    Define a 3 node raft cluster without a system channel. Start only 2 of these nodes. Submit a few transactions for the  ledger height to be >>1. Submit a config TX (change something other than consensus related stuff) so that the last config will be number > 0.    Start the 3rd node w/o channels. Get the last config block  from one of the 2 active cluster nodes and join the channel on the 3rd node.    Check that the 3rd node pulls all the blocks.    Check the cluster-relation (=member) and status for the transition (onboarding->active).    Submit some transactions to the 3rd node to verify it mutated into an etcdraft.Chain."	Not Design
DNN	DNN-10834	Improvement	Setting the Description and Keywords fields within Site Settings appears to change the Description and Keywords fields on every page	"It appears as though during the process of setting the Description and Keywords fields within Site Settings, that it will populate those same fields for every page within the site.  It does not appear to overwrite these fields if they are are previously populate in Page Settings.    This seems as though it could potentially introduce SEO issues with sites.  Thanks!"	Design
DM	DM-27117	Improvement	Add dummy pipeline to ap_verify testing	"Mock-based testing of {{pipeline_driver.py}} has run into several problems, including over-dependence on {{ctrl_mpexec}}. It would be cleaner to create  a mock pipeline whose tasks do no processing besides creating output datasets. Implement such a pipeline and use it in tests that currently try to mock the pipeline, its executor, or {{pipeline_driver}}.    Note that {{ap_verify}} currently does some run-time configuration of the AP pipeline (e.g., database location), so the mock pipeline needs to have at least some of the same configuration hooks as the real pipeline. Also, since tasks must be importable to be included in a pipeline, they will need to go somewhere in the main python directory of {{ap_verify}}."	Design
DM	DM-27173	Improvement	Add doc field to obs.base.FilterDefinition	"As proposed in RFC-730, add an optional doc field to {{FilterDefinition}} that can be used to describe filters whose purpose is not obvious from their band or physical name. This change can be made independently of the other changes proposed on that RFC."	Design
MESOS	MESOS-10059	Task	Let the command executor connect through a domain socket when available	"If the command executor is using the v1 API (--http_command_executors agent flag) and the MESOS_DOMAIN_SOCKET environment variable is set, the command executor should use the domain socket to communicate with the agent or die trying."	Not Design
MESOS	MESOS-10087	Task	Update master & agent's HTTP endpoints for showing resource limits	"We need to update Mesos master's `/state`, `/frameworks`, `/tasks` endpoints and agent's `/state` endpoint to show task's resource limits in their outputs."	Not Design
FAB	FAB-17052	Story	Cluster replication probe endpoint warning message spews a bunch of goo into the logs	"The block puller issues warning messages when probing endpoints fails. This message appears as goo to users.      results in      It seems we should be smarter about what we log. The byte slice that makes up the TLS root certificates should not be a set of numbers..."	Design
NEXUS	NEXUS-25303	Improvement	Custom firewall messages for Maven	"     Allow users to add text the error messages outputted in the Maven client when Firewall blocks a component.    Some users have their own Confluence pages or other Wikis where they provide documentation about what to do. In many cases, developers do not have access to the IQ Server Firewall reports, so the link to the report will only lead to ""I do not have access to this application. I have no idea what it is or who to talk to to get access"".    This frustration can easily be preempted with a provided text or link to their internal documentation."	Design
CONFSERVER	CONFSERVER-60250	Bug	Cursor moves automatically after section/column macro added to Blog post	"h3. Issue Summary    The cursor moves automatically when trying to place the cursor right after a column macro inside a section macro in a Blog post. It doesn't happen in pages.  h3. Steps to Reproduce   # Create a new Blog post   # In the editor, add a Section macro   # Inside the section macro, add a Column macro   # Try to place the cursor immediately below the Column macro    h3. Expected Results    The cursor would stay where you clicked so you can type.  h3. Actual Results    The cursor moves up automatically. See the recording below with issue reproduction and workaround.    [^Test_recording.mov]  h3. Workaround    Add some text inside the Section macro before the column macro and don't leave any empty space between the text and the Column macro and you'll be able to type below the Column macro."	Not Design
DM	DM-27057	Epic	Firefly - Extension of TAP interface to ObsTAP	"Beginning the work outlined in:    https://confluence.lsstcorp.org/display/DM/Firefly+support+for+ObsTAP+and+SODA"	Design
NEXUS	NEXUS-21070	Improvement	REST API for trusting remote TLS certificates	"Add REST API to manipulate the internal trust store NXRM uses to trust remote certs.  "	Design
MESOS	MESOS-10061	Task	Implement chmod() support for stout	"When using executor domain sockets, we need to be able to change permissions on the domain socket to 0600. To do that, we should implement a new function `os::chmod()` in stout."	Not Design
JRASERVER	JRASERVER-71686	Suggestion	add applicable issue types filter to custom fields list	"create a new enhancement request with Atlassian to add a filter and display of applicable Issue Types to the Custom Fields page.         Reason: We frequently use Custom Fields globally across all projects and limit the Custom Field to appropriate Issue Types. Filtering on applicable Issue Type/s will improve our ability to find Custom Fields of interest.    !image-2020-10-12-15-17-10-751.png!"	Design
DM	DM-27144	Story	NCSA Test stand DDS test and tuning phase 5 - deployment	"Continue delpoyment/test/debug with external components"	Not Design
NEXUS	NEXUS-25608	Bug	error responses from Nuget v3 remotes may not be properly parsed as errors	"The Github Package Registry for example can reply with a 400 status code if a query limit is exceed. The response content is JSON, but it is not going to be a normal query result. Despite that NXRM can still try to parse it as such and throw a runtime error:        h4. Expected    Improve the response parser to better detect error JSON payloads as such and not error parsing them."	Not Design
FAB	FAB-18102	Bug	Run dead link checker against Fabric docs	"Fix dead links in documentation reported at:    [https://lists.hyperledger.org/g/fabric/message/8758]         Also, investigate job for checking dead links automatically or at least regularly.     "	Not Design
CONFSERVER	CONFSERVER-60256	Bug	Chart Macro doesn't render Chinese language properly	"h3. Issue Summary    While using Chart macro if any of the columns have Chinese, its not rendered properly      h3. Steps to Reproduce   # Confluence v7.6.1  # Java 11.0.7   # Windows OS  # Create a page with Chart macro   !chart-1.png|thumbnail!   # Enter some Chinese columns in it  # Publish the page    h3. Expected Results    The Chart should render Chinese columns properly    h3. Actual Results    Chart shows square boxes for Chinese columns   !screenshot-1.png|thumbnail!     The title of the Chart is still rendered properly. It's just the columns runs into this issue.    h3. *Notes*    Tested with the following versions of Java with the same issue,  * jdk8u265-b01  * jdk 11.0.7  * jdk 11.0.8      h3. Workaround      Currently there is no known workaround for this behavior. A workaround will be added here when available"	Not Design
NEXUS	NEXUS-25457	Bug	blobstore UI corruption after creating a new blobstore or viewing an existing one	"1. Create a new S3 blobstore, Save.  2. Click the newly created blobstore row in the blobstores table to view what you saved.  3. Click the ""Blob Stores"" breadcrumb to navigate back to the blob stores UI list.   !image-2020-10-02-17-52-49-169.png|thumbnail!   4. Click Create Blob Store.  5. Choose S3 from the type list. When the UI changes to show the S3 fields, the UI renders the last created S3 blobstore data over top of what should be an empty form.     !image-2020-10-02-17-41-47-586.png|thumbnail!     Additional Error messages get shown in the UI from then on, navigating back and forth from existing blob stores to the list.    h4. Workaround    It was noticed clicking the Refresh button sometimes corrects the problem. However sometimes it creates new errors in the UI and only temporarily fixes the problem"	Not Design
